X;CountryCode;RegionCode
Grenada;GRD;XLA
Greenland;GRL;EUR
Guatemala;GTM;XLA
French Guiana;GUF;XLA
Guam;GUM;XOA
Guyana;GUY;XLA
Hong Kong;HKG;XEA
Heard Island and McDonald Islands;HMD;SSA
Honduras;HND;XLA
Croatia;HRV;EUR
Haiti;HTI;XLA
Hungary;HUN;EUR
Indonesia;IDN;XOA
Isle of Man;IMN;EUR
India;IND;XSA
British Indian Ocean Territory;IOT;XOA
Ireland;IRL;EUR
Iran, Islamic Republic of;IRN;MEN
Iraq;IRQ;MEN
Iceland;ISL;EUR
Israel;ISR;MEN
Italy;ITA;EUR
Jamaica;JAM;XLA
Jersey;JEY;EUR
Jordan;JOR;MEN
Japan;JPN;XEA
Kazakhstan;KAZ;FSU
Kenya;KEN;SSA
Kyrgyzstan;KGZ;FSU
Cambodia;KHM;XOA
Kiribati;KIR;XOA
Saint Kitts and Nevis;KNA;XLA
Korea, Republic of;KOR;XEA
Kuwait;KWT;MEN
Lao People's Democratic Republic;LAO;XOA
Lebanon;LBN;MEN
Liberia;LBR;SSA
Libya;LBY;MEN
Saint Lucia;LCA;XLA
Liechtenstein;LIE;EUR
Sri Lanka;LKA;XSA
Lesotho;LSO;SSA
Lithuania;LTU;EUR
Luxembourg;LUX;EUR
Latvia;LVA;EUR
Macao;MAC;XEA
Saint Martin (French part);MAF;XLA
Morocco;MAR;MEN
Monaco;MCO;EUR
Moldova, Republic of;MDA;FSU
Madagascar;MDG;SSA
Maldives;MDV;XOA
Mexico;MEX;XLA
Marshall Islands;MHL;XOA
Macedonia, the former Yugoslav Republic of;MKD;EUR
Mali;MLI;SSA
Malta;MLT;EUR
Myanmar;MMR;XOA
Montenegro;MNE;EUR
Mongolia;MNG;XOA
Northern Mariana Islands;MNP;XOA
Mozambique;MOZ;SSA
Mauritania;MRT;SSA
Montserrat;MSR;XLA
Martinique;MTQ;XLA
Mauritius;MUS;SSA
Malawi;MWI;SSA
Malaysia;MYS;XOA
Mayotte;MYT;SSA
Namibia;NAM;SSA
New Caledonia;NCL;XOA
Niger;NER;SSA
Norfolk Island;NFK;ANZ
Nigeria;NGA;SSA
Nicaragua;NIC;XLA
Niue;NIU;XOA
Netherlands;NLD;EUR
Norway;NOR;EUR
Nepal;NPL;XSA
Nauru;NRU;XOA
New Zealand;NZL;ANZ
Oman;OMN;MEN
Pakistan;PAK;XOA
Panama;PAN;XLA
Pitcairn;PCN;XOA
Peru;PER;XLA
Philippines;PHL;XEA
Palau;PLW;XOA
Papua New Guinea;PNG;XOA
Poland;POL;EUR
Puerto Rico;PRI;XLA
Korea, Democratic People's Republic of;PRK;XOA
Portugal;PRT;EUR
Paraguay;PRY;XPR
Palestine, State of;PSE;MEN
French Polynesia;PYF;XOA
Qatar;QAT;MEN
Reunion;REU;SSA
Romania;ROU;EUR
Russian Federation;RUS;FSU
Rwanda;RWA;SSA
Saudi Arabia;SAU;MEN
Sudan;SDN;SSA
Senegal;SEN;SSA
Singapore;SGP;XOA
South Georgia and the South Sandwich Islands;SGS;XLA
Saint Helena, Ascension and Tristan da Cunha;SHN;SSA
Svalbard and Jan Mayen;SJM;EUR
Solomon Islands;SLB;XOA
Sierra Leone;SLE;SSA
El Salvador;SLV;XLA
San Marino;SMR;EUR
Somalia;SOM;SSA
Saint Pierre and Miquelon;SPM;EUR
Serbia;SRB;EUR
South Sudan;SSD;SSA
Sao Tome and Principe;STP;SSA
Suriname;SUR;XLA
Slovakia;SVK;EUR
Slovenia;SVN;EUR
Sweden;SWE;EUR
Swaziland;SWZ;SSA
Sint Maarten (Dutch part);SXM;XLA
Seychelles;SYC;SSA
Syrian Arab Republic;SYR;MEN
Turks and Caicos Islands;TCA;XLA
Chad;TCD;SSA
Togo;TGO;SSA
Thailand;THA;XOA
Tajikistan;TJK;FSU
Tokelau;TKL;XOA
Turkmenistan;TKM;FSU
Timor-Leste;TLS;XOA
Tonga;TON;XOA
Trinidad and Tobago;TTO;XLA
Tunisia;TUN;MEN
Turkey;TUR;MEN
Tuvalu;TUV;XOA
Taiwan, Province of China;TWN;XEA
Tanzania, United Republic of;TZA;SSA
Uganda;UGA;SSA
Ukraine;UKR;FSU
United States Minor Outlying Islands;UMI;EUR
Uruguay;URY;XPR
United States;USA;XNA
Uzbekistan;UZB;FSU
Holy See (Vatican City State);VAT;EUR
Saint Vincent and the Grenadines;VCT;XLA
Venezuela, Bolivarian Republic of;VEN;XLA
Virgin Islands, British;VGB;XLA
Virgin Islands, U.S.;VIR;XLA
Viet Nam;VNM;XOA
Vanuatu;VUT;XOA
Wallis and Futuna;WLF;XOA
Samoa;WSM;XOA
Yemen;YEM;MEN
South Africa;ZAF;SSA
Zambia;ZMB;SSA
Zimbabwe;ZWE;SSA
