X;CountryCode;RegionCode
Romania;ROU;EUR
Russian Federation;RUS;ROW
Rwanda;RWA;ROW
Saudi Arabia;SAU;ROW
Sudan;SDN;ROW
Senegal;SEN;ROW
Singapore;SGP;ROW
South Georgia and the South Sandwich Islands;SGS;LAM
Saint Helena, Ascension and Tristan da Cunha;SHN;ROW
Svalbard and Jan Mayen;SJM;ROW
Solomon Islands;SLB;ROW
Sierra Leone;SLE;ROW
El Salvador;SLV;LAM
San Marino;SMR;ROW
Somalia;SOM;ROW
Saint Pierre and Miquelon;SPM;ROW
Serbia;SRB;ROW
South Sudan;SSD;ROW
Sao Tome and Principe;STP;ROW
Suriname;SUR;LAM
Slovakia;SVK;EUR
Slovenia;SVN;EUR
Sweden;SWE;EUR
Swaziland;SWZ;ROW
Sint Maarten (Dutch part);SXM;LAM
Seychelles;SYC;ROW
Syrian Arab Republic;SYR;ROW
Turks and Caicos Islands;TCA;LAM
Chad;TCD;ROW
Togo;TGO;ROW
Thailand;THA;ROW
Tajikistan;TJK;ROW
Tokelau;TKL;ROW
Turkmenistan;TKM;ROW
Timor-Leste;TLS;ROW
Tonga;TON;ROW
Trinidad and Tobago;TTO;LAM
Tunisia;TUN;ROW
Turkey;TUR;ROW
Tuvalu;TUV;ROW
Taiwan, Province of China;TWN;CHA
Tanzania, United Republic of;TZA;ROW
Uganda;UGA;ROW
Ukraine;UKR;ROW
United States Minor Outlying Islands;UMI;ROW
Uruguay;URY;LAM
United States;USA;USA
Uzbekistan;UZB;ROW
Holy See (Vatican City State);VAT;ROW
Saint Vincent and the Grenadines;VCT;LAM
Venezuela, Bolivarian Republic of;VEN;LAM
Virgin Islands, British;VGB;LAM
Virgin Islands, U.S.;VIR;LAM
Viet Nam;VNM;ROW
Vanuatu;VUT;ROW
Wallis and Futuna;WLF;ROW
Samoa;WSM;ROW
Yemen;YEM;ROW
South Africa;ZAF;ROW
Zambia;ZMB;ROW
Zimbabwe;ZWE;ROW
