X;CountryCode;RegionCode
Curacao;CUW;OSA
Cayman Islands;CYM;OSA
Dominica;DMA;OSA
Dominican Republic;DOM;OSA
Ecuador;ECU;OSA
Falkland Islands (Malvinas);FLK;OSA
Guadeloupe;GLP;OSA
Grenada;GRD;OSA
Guatemala;GTM;OSA
French Guiana;GUF;OSA
Guyana;GUY;OSA
Honduras;HND;OSA
Haiti;HTI;OSA
Jamaica;JAM;OSA
Saint Kitts and Nevis;KNA;OSA
Saint Lucia;LCA;OSA
Saint Martin (French part);MAF;OSA
Mexico;MEX;OSA
Montserrat;MSR;OSA
Martinique;MTQ;OSA
Nicaragua;NIC;OSA
Panama;PAN;OSA
Peru;PER;OSA
Puerto Rico;PRI;OSA
Paraguay;PRY;OSA
South Georgia and the South Sandwich Islands;SGS;OSA
El Salvador;SLV;OSA
Suriname;SUR;OSA
Sint Maarten (Dutch part);SXM;OSA
Turks and Caicos Islands;TCA;OSA
Trinidad and Tobago;TTO;OSA
Uruguay;URY;OSA
Saint Vincent and the Grenadines;VCT;OSA
Venezuela, Bolivarian Republic of;VEN;OSA
Virgin Islands, British;VGB;OSA
Virgin Islands, U.S.;VIR;OSA
Brunei Darussalam;BRN;SEA
Cocos (Keeling) Islands;CCK;SEA
Christmas Island;CXR;SEA
Guam;GUM;SEA
Indonesia;IDN;SEA
Japan;JPN;SEA
Cambodia;KHM;SEA
Korea, Republic of;KOR;SEA
Lao People's Democratic Republic;LAO;SEA
Myanmar;MMR;SEA
Northern Mariana Islands;MNP;SEA
Malaysia;MYS;SEA
Pitcairn;PCN;SEA
Philippines;PHL;SEA
Korea, Democratic People's Republic of;PRK;SEA
Singapore;SGP;SEA
Thailand;THA;SEA
Timor-Leste;TLS;SEA
Taiwan, Province of China;TWN;SEA
Viet Nam;VNM;SEA
Angola;AGO;SSA
French Southern Territories;ATF;SSA
Burundi;BDI;SSA
Benin;BEN;SSA
Burkina Faso;BFA;SSA
Bouvet Island;BVT;SSA
Botswana;BWA;SSA
Central African Republic;CAF;SSA
Cote d Ivoire;CIV;SSA
Cameroon;CMR;SSA
Congo, the Democratic Republic of the;COD;SSA
Congo;COG;SSA
Comoros;COM;SSA
Cape Verde;CPV;SSA
Djibouti;DJI;SSA
Eritrea;ERI;SSA
Ethiopia;ETH;SSA
Gabon;GAB;SSA
Ghana;GHA;SSA
Guinea;GIN;SSA
Gambia;GMB;SSA
Guinea-Bissau;GNB;SSA
Equatorial Guinea;GNQ;SSA
Heard Island and McDonald Islands;HMD;SSA
Kenya;KEN;SSA
Liberia;LBR;SSA
Lesotho;LSO;SSA
Madagascar;MDG;SSA
Mali;MLI;SSA
Mozambique;MOZ;SSA
Mauritania;MRT;SSA
Mauritius;MUS;SSA
Malawi;MWI;SSA
Mayotte;MYT;SSA
Namibia;NAM;SSA
Niger;NER;SSA
Nigeria;NGA;SSA
Reunion;REU;SSA
Rwanda;RWA;SSA
Sudan;SDN;SSA
Senegal;SEN;SSA
Saint Helena, Ascension and Tristan da Cunha;SHN;SSA
Sierra Leone;SLE;SSA
Somalia;SOM;SSA
South Sudan;SSD;SSA
Sao Tome and Principe;STP;SSA
Swaziland;SWZ;SSA
Seychelles;SYC;SSA
Chad;TCD;SSA
Togo;TGO;SSA
Tanzania, United Republic of;TZA;SSA
Uganda;UGA;SSA
South Africa;ZAF;SSA
Zambia;ZMB;SSA
Zimbabwe;ZWE;SSA
United States Minor Outlying Islands;UMI;USA
United States;USA;USA
